data_noncanon,test_noncanon,K,v,abundance,n_alt_tested,n_null_tested,n_alt_flagged,n_null_flagged,power,empirical_fdr,power_has_nc,n_has_nc,power_all_wcf,n_all_wcf,nc_hist_json,elapsed_sec
GU,GU,5,3,uniform,2500,2500,2250,51,0.9,0.022,0.903,2268,0.871,232,"{""0"": 232, ""1"": 671, ""2"": 818, ""3"": 600, ""4"": 179}",11.2
GU,GU,5,4,uniform,2500,2500,2448,52,0.979,0.021,0.977,2248,1.0,252,"{""0"": 252, ""1"": 708, ""2"": 776, ""3"": 580, ""4"": 184}",13.4
GU,GU,5,5,uniform,2500,2500,2461,41,0.984,0.016,0.983,2274,1.0,226,"{""0"": 226, ""1"": 676, ""2"": 864, ""3"": 577, ""4"": 157}",16.6
GU,GU,5,6,uniform,2500,2500,2479,57,0.992,0.022,0.991,2282,0.995,218,"{""0"": 218, ""1"": 665, ""2"": 844, ""3"": 609, ""4"": 164}",20.4
GU,GU,5,7,uniform,2500,2500,2482,47,0.993,0.019,0.992,2266,1.0,234,"{""0"": 234, ""1"": 641, ""2"": 857, ""3"": 603, ""4"": 165}",25.0
GA,GA,5,3,uniform,2500,2500,2273,46,0.909,0.02,0.913,2286,0.874,214,"{""0"": 214, ""1"": 702, ""2"": 826, ""3"": 590, ""4"": 168}",11.1
GA,GA,5,4,uniform,2500,2500,2448,50,0.979,0.02,0.978,2289,0.995,211,"{""0"": 211, ""1"": 688, ""2"": 829, ""3"": 601, ""4"": 171}",13.5
GA,GA,5,5,uniform,2500,2500,2463,53,0.985,0.021,0.984,2274,1.0,226,"{""0"": 226, ""1"": 701, ""2"": 853, ""3"": 556, ""4"": 164}",16.7
GA,GA,5,6,uniform,2500,2500,2476,59,0.99,0.023,0.99,2254,0.996,246,"{""0"": 246, ""1"": 686, ""2"": 826, ""3"": 601, ""4"": 141}",20.7
GA,GA,5,7,uniform,2500,2500,2482,36,0.993,0.014,0.993,2267,0.996,233,"{""0"": 233, ""1"": 711, ""2"": 810, ""3"": 589, ""4"": 157}",25.2
GA,GU,5,3,uniform,1462,1494,40,1,0.027,0.024,0.01,1214,0.113,248,"{""0"": 248, ""1"": 456, ""2"": 426, ""3"": 263, ""4"": 69}",7.8
GA,GU,5,4,uniform,1460,1440,200,7,0.137,0.034,0.107,1242,0.307,218,"{""0"": 218, ""1"": 520, ""2"": 435, ""3"": 238, ""4"": 49}",9.0
GA,GU,5,5,uniform,1510,1424,223,5,0.148,0.022,0.119,1288,0.315,222,"{""0"": 222, ""1"": 518, ""2"": 443, ""3"": 271, ""4"": 56}",10.7
GA,GU,5,6,uniform,1474,1442,180,7,0.122,0.037,0.088,1201,0.271,273,"{""0"": 273, ""1"": 447, ""2"": 456, ""3"": 239, ""4"": 59}",12.4
GA,GU,5,7,uniform,1519,1473,201,5,0.132,0.024,0.102,1263,0.281,256,"{""0"": 256, ""1"": 480, ""2"": 433, ""3"": 299, ""4"": 51}",13.9
GU,GA,5,3,uniform,1466,1493,40,2,0.027,0.048,0.015,1226,0.087,240,"{""0"": 240, ""1"": 454, ""2"": 480, ""3"": 232, ""4"": 60}",7.7
GU,GA,5,4,uniform,1478,1490,175,3,0.118,0.017,0.092,1261,0.272,217,"{""0"": 217, ""1"": 507, ""2"": 450, ""3"": 243, ""4"": 61}",8.9
GU,GA,5,5,uniform,1519,1469,211,7,0.139,0.032,0.119,1308,0.265,211,"{""0"": 211, ""1"": 524, ""2"": 471, ""3"": 260, ""4"": 53}",10.6
GU,GA,5,6,uniform,1472,1513,179,6,0.122,0.032,0.096,1251,0.267,221,"{""0"": 221, ""1"": 479, ""2"": 446, ""3"": 267, ""4"": 59}",12.3
GU,GA,5,7,uniform,1520,1479,194,5,0.128,0.025,0.102,1276,0.262,244,"{""0"": 244, ""1"": 501, ""2"": 444, ""3"": 269, ""4"": 62}",13.6
"GU,GA","GU,GA",5,3,uniform,2500,2500,1706,42,0.682,0.024,0.686,2455,0.489,45,"{""0"": 45, ""1"": 320, ""2"": 697, ""3"": 919, ""4"": 519}",18.5
"GU,GA","GU,GA",5,4,uniform,2500,2500,2073,47,0.829,0.022,0.829,2439,0.82,61,"{""0"": 61, ""1"": 312, ""2"": 690, ""3"": 900, ""4"": 537}",20.6
"GU,GA","GU,GA",5,5,uniform,2500,2500,2201,46,0.88,0.02,0.882,2443,0.825,57,"{""0"": 57, ""1"": 323, ""2"": 675, ""3"": 884, ""4"": 561}",24.1
"GU,GA","GU,GA",5,6,uniform,2500,2500,2312,44,0.925,0.019,0.926,2445,0.855,55,"{""0"": 55, ""1"": 329, ""2"": 665, ""3"": 904, ""4"": 547}",28.5
"GU,GA","GU,GA",5,7,uniform,2500,2500,2391,49,0.956,0.02,0.958,2437,0.905,63,"{""0"": 63, ""1"": 328, ""2"": 660, ""3"": 883, ""4"": 566}",33.3
"GU,GA",GU,5,3,uniform,1717,1753,348,8,0.203,0.022,0.198,1658,0.322,59,"{""0"": 59, ""1"": 244, ""2"": 435, ""3"": 588, ""4"": 391}",14.8
"GU,GA",GU,5,4,uniform,1737,1760,629,17,0.362,0.026,0.359,1681,0.446,56,"{""0"": 56, ""1"": 230, ""2"": 484, ""3"": 586, ""4"": 381}",16.3
"GU,GA",GU,5,5,uniform,1773,1718,713,21,0.402,0.029,0.393,1704,0.638,69,"{""0"": 69, ""1"": 235, ""2"": 482, ""3"": 599, ""4"": 388}",18.6
"GU,GA",GU,5,6,uniform,1716,1719,739,9,0.431,0.012,0.421,1665,0.745,51,"{""0"": 51, ""1"": 250, ""2"": 455, ""3"": 583, ""4"": 377}",20.3
"GU,GA",GU,5,7,uniform,1756,1779,799,19,0.455,0.023,0.446,1683,0.671,73,"{""0"": 73, ""1"": 229, ""2"": 479, ""3"": 593, ""4"": 382}",22.1
GU,"GU,GA",5,3,uniform,2500,2500,919,19,0.368,0.02,0.377,2282,0.271,218,"{""0"": 218, ""1"": 675, ""2"": 841, ""3"": 597, ""4"": 169}",12.1
GU,"GU,GA",5,4,uniform,2500,2500,1238,32,0.495,0.025,0.498,2272,0.465,228,"{""0"": 228, ""1"": 678, ""2"": 828, ""3"": 589, ""4"": 177}",15.0
GU,"GU,GA",5,5,uniform,2500,2500,1397,19,0.559,0.013,0.568,2271,0.463,229,"{""0"": 229, ""1"": 654, ""2"": 837, ""3"": 619, ""4"": 161}",18.2
GU,"GU,GA",5,6,uniform,2500,2500,1488,23,0.595,0.015,0.598,2281,0.562,219,"{""0"": 219, ""1"": 683, ""2"": 825, ""3"": 598, ""4"": 175}",22.9
GU,"GU,GA",5,7,uniform,2500,2500,1553,40,0.621,0.025,0.623,2269,0.606,231,"{""0"": 231, ""1"": 678, ""2"": 833, ""3"": 584, ""4"": 174}",28.4
none,GU,5,3,uniform,2500,2500,1914,51,0.766,0.026,nan,0,nan,0,{},10.3
none,GU,5,4,uniform,2500,2500,1351,14,0.54,0.01,nan,0,nan,0,{},12.9
none,GU,5,5,uniform,2500,2500,1378,27,0.551,0.019,nan,0,nan,0,{},16.2
none,GU,5,6,uniform,2500,2500,1326,32,0.53,0.024,nan,0,nan,0,{},20.8
none,GU,5,7,uniform,2500,2500,1481,43,0.592,0.028,nan,0,nan,0,{},26.8
GU,none,5,3,uniform,769,772,280,1,0.364,0.004,nan,0,nan,0,{},5.9
GU,none,5,4,uniform,777,724,349,13,0.449,0.036,nan,0,nan,0,{},6.0
GU,none,5,5,uniform,743,775,346,10,0.466,0.028,nan,0,nan,0,{},6.5
GU,none,5,6,uniform,769,785,411,8,0.534,0.019,nan,0,nan,0,{},6.9
GU,none,5,7,uniform,767,749,443,11,0.578,0.024,nan,0,nan,0,{},7.6
none,none,5,3,uniform,2500,2500,2500,50,1.0,0.02,nan,0,nan,0,{},5.8
none,none,5,4,uniform,2500,2500,2500,80,1.0,0.031,nan,0,nan,0,{},7.0
none,none,5,5,uniform,2500,2500,2500,85,1.0,0.033,nan,0,nan,0,{},8.0
none,none,5,6,uniform,2500,2500,2500,59,1.0,0.023,nan,0,nan,0,{},10.4
none,none,5,7,uniform,2500,2500,2500,68,1.0,0.026,nan,0,nan,0,{},12.8
