data_R,test_R,K,v,abundance,rep,seed,n_alt_tested,n_null_tested,n_alt_flagged,n_null_flagged,power,empirical_fdp,power_sve,power_svp,power_mixed,elapsed_sec
0.5,0.5,5,5,uniform,0,3030,2500,2500,2464,44,0.986,0.018,1.0,0.962,0.995,17.7
0.5,1.0,5,5,uniform,0,3040,2500,2500,2259,14,0.904,0.006,1.0,0.744,0.966,16.9
0.5,1.25,5,5,uniform,0,3050,2500,2500,2167,5,0.867,0.002,1.0,0.684,0.927,16.9
0.5,1.5,5,5,uniform,0,3060,2500,2500,2054,6,0.822,0.003,1.0,0.563,0.913,16.9
0.5,1.75,5,5,uniform,0,3070,2500,2500,1999,1,0.8,0.001,1.0,0.52,0.87,18.7
0.5,2.0,5,5,uniform,0,3080,2500,2500,1927,3,0.771,0.002,1.0,0.452,0.841,17.0
0.5,3.0,5,5,uniform,0,3090,2500,2500,1831,1,0.732,0.001,1.0,0.332,0.836,16.7
1.0,0.5,5,5,uniform,0,3130,2500,2500,2457,189,0.983,0.071,1.0,0.952,0.996,16.8
1.0,1.0,5,5,uniform,0,3140,2500,2500,2262,54,0.905,0.023,1.0,0.759,0.963,16.9
1.0,1.25,5,5,uniform,0,3150,2500,2500,2204,27,0.882,0.012,1.0,0.707,0.933,19.1
1.0,1.5,5,5,uniform,0,3160,2500,2500,2085,21,0.834,0.01,1.0,0.585,0.899,17.6
1.0,1.75,5,5,uniform,0,3170,2500,2500,1969,10,0.788,0.005,1.0,0.518,0.85,17.0
1.0,2.0,5,5,uniform,0,3180,2500,2500,1937,9,0.775,0.005,1.0,0.461,0.846,16.3
1.0,3.0,5,5,uniform,0,3190,2500,2500,1759,6,0.704,0.003,1.0,0.318,0.799,16.4
1.25,0.5,5,5,uniform,0,3230,2500,2500,2480,298,0.992,0.107,1.0,0.977,0.998,17.1
1.25,1.0,5,5,uniform,0,3240,2500,2500,2263,95,0.905,0.04,1.0,0.754,0.966,17.2
1.25,1.25,5,5,uniform,0,3250,2500,2500,2159,38,0.864,0.017,1.0,0.667,0.92,17.4
1.25,1.5,5,5,uniform,0,3260,2500,2500,2061,27,0.824,0.013,1.0,0.604,0.882,17.6
1.25,1.75,5,5,uniform,0,3270,2500,2500,1969,20,0.788,0.01,1.0,0.501,0.88,18.9
1.25,2.0,5,5,uniform,0,3280,2500,2500,1968,25,0.787,0.013,1.0,0.509,0.847,18.8
1.25,3.0,5,5,uniform,0,3290,2500,2500,1785,5,0.714,0.003,1.0,0.313,0.818,16.4
1.5,0.5,5,5,uniform,0,3330,2500,2500,2458,327,0.983,0.117,1.0,0.953,0.998,16.2
1.5,1.0,5,5,uniform,0,3340,2500,2500,2248,106,0.899,0.045,1.0,0.749,0.958,16.4
1.5,1.25,5,5,uniform,0,3350,2500,2500,2128,61,0.851,0.028,1.0,0.649,0.925,16.2
1.5,1.5,5,5,uniform,0,3360,2500,2500,2099,44,0.84,0.021,1.0,0.592,0.926,16.2
1.5,1.75,5,5,uniform,0,3370,2500,2500,1972,34,0.789,0.017,1.0,0.484,0.881,16.2
1.5,2.0,5,5,uniform,0,3380,2500,2500,1921,15,0.768,0.008,1.0,0.459,0.854,16.2
1.5,3.0,5,5,uniform,0,3390,2500,2500,1792,7,0.717,0.004,1.0,0.309,0.8,16.2
1.75,0.5,5,5,uniform,0,3430,2500,2500,2476,424,0.99,0.146,1.0,0.973,0.999,16.4
1.75,1.0,5,5,uniform,0,3440,2500,2500,2248,130,0.899,0.055,1.0,0.736,0.965,16.4
1.75,1.25,5,5,uniform,0,3450,2500,2500,2184,96,0.874,0.042,1.0,0.678,0.93,16.2
1.75,1.5,5,5,uniform,0,3460,2500,2500,2041,64,0.816,0.03,1.0,0.568,0.902,16.3
1.75,1.75,5,5,uniform,0,3470,2500,2500,1967,49,0.787,0.024,1.0,0.51,0.854,16.2
1.75,2.0,5,5,uniform,0,3480,2500,2500,1934,32,0.774,0.016,1.0,0.481,0.851,16.2
1.75,3.0,5,5,uniform,0,3490,2500,2500,1739,15,0.696,0.009,1.0,0.291,0.802,16.5
2.0,0.5,5,5,uniform,0,3530,2500,2500,2480,536,0.992,0.178,1.0,0.977,0.998,16.3
2.0,1.0,5,5,uniform,0,3540,2500,2500,2257,196,0.903,0.08,1.0,0.755,0.955,16.2
2.0,1.25,5,5,uniform,0,3550,2500,2500,2160,89,0.864,0.04,1.0,0.655,0.936,16.4
2.0,1.5,5,5,uniform,0,3560,2500,2500,2055,72,0.822,0.034,1.0,0.587,0.889,16.2
2.0,1.75,5,5,uniform,0,3570,2500,2500,2020,48,0.808,0.023,1.0,0.527,0.883,16.3
2.0,2.0,5,5,uniform,0,3580,2500,2500,1948,34,0.779,0.017,1.0,0.502,0.856,16.5
2.0,3.0,5,5,uniform,0,3590,2500,2500,1742,21,0.697,0.012,1.0,0.305,0.787,16.2
3.0,0.5,5,5,uniform,0,3630,2500,2500,2478,782,0.991,0.24,1.0,0.978,0.995,16.4
3.0,1.0,5,5,uniform,0,3640,2500,2500,2277,280,0.911,0.11,1.0,0.764,0.968,16.4
3.0,1.25,5,5,uniform,0,3650,2500,2500,2183,196,0.873,0.082,1.0,0.69,0.93,16.3
3.0,1.5,5,5,uniform,0,3660,2500,2500,2049,122,0.82,0.056,1.0,0.555,0.892,16.5
3.0,1.75,5,5,uniform,0,3670,2500,2500,1981,88,0.792,0.043,1.0,0.499,0.892,16.2
3.0,2.0,5,5,uniform,0,3680,2500,2500,1916,68,0.766,0.034,1.0,0.445,0.846,16.8
3.0,3.0,5,5,uniform,0,3690,2500,2500,1762,26,0.705,0.015,1.0,0.324,0.79,16.8
0.5,0.5,5,5,uniform,1,13037,2500,2500,2475,56,0.99,0.022,1.0,0.971,0.998,17.1
0.5,1.0,5,5,uniform,1,13047,2500,2500,2281,9,0.912,0.004,1.0,0.767,0.968,16.4
0.5,1.25,5,5,uniform,1,13057,2500,2500,2124,5,0.85,0.002,1.0,0.65,0.911,16.6
0.5,1.5,5,5,uniform,1,13067,2500,2500,2091,3,0.836,0.001,1.0,0.6,0.908,16.4
0.5,1.75,5,5,uniform,1,13077,2500,2500,2005,1,0.802,0.0,1.0,0.522,0.879,15.9
0.5,2.0,5,5,uniform,1,13087,2500,2500,1990,2,0.796,0.001,1.0,0.505,0.882,17.2
0.5,3.0,5,5,uniform,1,13097,2500,2500,1742,1,0.697,0.001,1.0,0.286,0.797,16.4
1.0,0.5,5,5,uniform,1,13137,2500,2500,2475,179,0.99,0.067,1.0,0.973,0.996,16.9
1.0,1.0,5,5,uniform,1,13147,2500,2500,2246,46,0.898,0.02,1.0,0.736,0.964,16.7
1.0,1.25,5,5,uniform,1,13157,2500,2500,2157,30,0.863,0.014,1.0,0.647,0.938,16.3
1.0,1.5,5,5,uniform,1,13167,2500,2500,2079,20,0.832,0.01,1.0,0.572,0.905,16.7
1.0,1.75,5,5,uniform,1,13177,2500,2500,1997,12,0.799,0.006,1.0,0.52,0.872,16.5
1.0,2.0,5,5,uniform,1,13187,2500,2500,1955,13,0.782,0.007,1.0,0.474,0.849,16.6
1.0,3.0,5,5,uniform,1,13197,2500,2500,1770,4,0.708,0.002,1.0,0.322,0.78,16.3
1.25,0.5,5,5,uniform,1,13237,2500,2500,2476,270,0.99,0.098,1.0,0.972,0.999,17.2
1.25,1.0,5,5,uniform,1,13247,2500,2500,2226,87,0.89,0.038,1.0,0.71,0.948,16.2
1.25,1.25,5,5,uniform,1,13257,2500,2500,2182,40,0.873,0.018,1.0,0.683,0.928,16.6
1.25,1.5,5,5,uniform,1,13267,2500,2500,2078,32,0.831,0.015,1.0,0.591,0.909,16.5
1.25,1.75,5,5,uniform,1,13277,2500,2500,1957,18,0.783,0.009,1.0,0.499,0.86,16.2
1.25,2.0,5,5,uniform,1,13287,2500,2500,1910,16,0.764,0.008,1.0,0.444,0.853,16.7
1.25,3.0,5,5,uniform,1,13297,2500,2500,1751,5,0.7,0.003,1.0,0.321,0.769,18.1
1.5,0.5,5,5,uniform,1,13337,2500,2500,2461,350,0.984,0.125,1.0,0.961,0.993,17.1
1.5,1.0,5,5,uniform,1,13347,2500,2500,2280,102,0.912,0.043,1.0,0.772,0.961,16.5
1.5,1.25,5,5,uniform,1,13357,2500,2500,2146,66,0.858,0.03,1.0,0.64,0.935,16.5
1.5,1.5,5,5,uniform,1,13367,2500,2500,2047,52,0.819,0.025,1.0,0.584,0.892,16.4
